Scarpe,Categoria,Prezzo reale,Prezzo scontato,Materiale,In sconto,Materiale_pulito,Macro_categoria,Micro_categoria,Brand
Torhill Lo,Scarpe da uomo,120.0,120.0,Cola scamosciata,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Godney Boat,Scarpe Originals da Uomo,130.0,130.0,Pelle marrone chiaro britannica,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Berwick Seam,Scarpe da uomo,85.0,85.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Boat,Scarpe da uomo,90.0,90.0,Azzurro,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Brantin Plain,Scarpe da uomo,85.0,85.0,Maglia grigia,False,Maglia,Scarpe eleganti,Stringate / Derby,C
Holworth Lace,Scarpe da uomo,75.0,60.0,Pelle blu scuro,True,Pelle,Scarpe eleganti,Stringate / Derby,C
Torview,Scarpe da uomo,130.0,130.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Easy,Scarpe da uomo,90.0,90.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Lace,Scarpe da uomo,90.0,90.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Torhill Lo,Scarpe da uomo,120.0,120.0,Pelle scamosciata verde oliva,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Polden Moc,Scarpe da uomo,110.0,110.0,Pelle Scamosciata Blu Scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Godney Boat,Scarpe Originals Icon da Uomo,130.0,130.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Holworth Lace,Scarpe da uomo,75.0,75.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Aldwin Lace,Scarpe da uomo,110.0,110.0,Camoscio grigio,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Polden Moc,Scarpe da uomo,110.0,110.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Banbury Derby,Scarpe da uomo,80.0,80.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Banbury Tip,Scarpe da uomo,80.0,80.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Aldwin Limit Brogue,Scarpe da uomo,110.0,110.0,Pelle blu scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Aldwin Lace,Scarpe da uomo,110.0,110.0,Pelle scamosciata marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Romsey Lace,Scarpe sportive da uomo,79.95,79.95,Pelle Bianca,False,Pelle,Sneakers,Sneakers basse,C
Cleyhill Seam,Scarpe da uomo,120.0,120.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Desert Trek,Scarpe Originals da Uomo,130.0,130.0,Camoscio Sabbia,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Berwick Lo,Scarpe da uomo,85.0,85.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Lace,Scarpe da uomo,90.0,90.0,Camoscio grigio,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Charmouth Lace,Scarpe da uomo,90.0,90.0,Nabuk blu scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Lockford Boat,Scarpe da uomo,90.0,90.0,Camoscio grigio,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Brantin Plain,Scarpe da uomo,85.0,85.0,Pelle blu scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Radwell Tie,Scarpe da uomo,100.0,100.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft Emile,Scarpe da uomo,120.0,120.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Polden Lace,Scarpe da uomo,120.0,120.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Boat,Scarpe da uomo,90.0,90.0,Pelle Scamosciata Blu Scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Solevana Easy,Scarpe sportive da uomo,75.0,75.0,Nero,False,Non specificato,Sneakers,Sneakers basse,C
Charmouth Lace,Scarpe da uomo,90.0,90.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Desert Nomad 2026,Scarpe Originals da Uomo,190.0,190.0,Pelle scamosciata d'acero,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals da Uomo,130.0,130.0,Pelle scamosciata d'acero,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Eldredge Plain,Scarpe da uomo,120.0,120.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Lace,Scarpe da uomo,90.0,90.0,Pelle blu scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft James Lo,Scarpe da uomo,160.0,160.0,Interesse marrone,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Courtlite2 Run,Scarpe sportive da uomo,100.0,100.0,Pelle Bianca,False,Pelle,Sneakers,Sneakers basse,C
Wallabee 2604,Scarpe Originals Icon da Uomo,160.0,160.0,Camoscio grigio,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Torhill Lace,Scarpe da uomo,120.0,120.0,Pelle Bianca,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Romsey Lace,Scarpe sportive da uomo,80.0,80.0,Pelle marrone chiaro,False,Pelle,Sneakers,Sneakers basse,C
Check Lace,Scarpe sportive da uomo,70.0,70.0,Nero,False,Non specificato,Sneakers,Sneakers basse,C
Aldwin Limit Brogue,Scarpe da uomo,110.0,110.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Boat,Scarpe da uomo,90.0,90.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Craft Swift,Scarpe sportive da uomo,120.0,120.0,Pelle marrone,False,Pelle,Sneakers,Sneakers basse,C
Craft Remi Tip,Scarpe da uomo,120.0,120.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Seco Speed,Scarpe sportive da uomo,75.0,75.0,Camoscio verde,False,Camoscio,Sneakers,Sneakers basse,C
Lapford Lace,Scarpe da uomo,89.95,89.95,Nabuk blu scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Mapstone Lace,Scarpe da uomo,120.0,120.0,Pelle blu scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Solevana Style,Scarpe sportive da uomo,80.0,80.0,Nero,False,Non specificato,Sneakers,Sneakers basse,C
Craft Remi Lace,Scarpe da uomo,120.0,120.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Solevana Style,Scarpe sportive da uomo,80.0,80.0,Bianco,False,Non specificato,Sneakers,Sneakers basse,C
Seco Speed,Scarpe sportive da uomo,75.0,75.0,Camoscio Sabbia Scuro,False,Camoscio,Sneakers,Sneakers basse,C
Torhill Lo,Scarpe da uomo,120.0,120.0,Tessile verde,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Un Costa Lace,Scarpe sportive da uomo,110.0,76.95,Nero,True,Non specificato,Sneakers,Sneakers basse,C
Torhill Lo,Scarpe da uomo,110.0,110.0,Tela marina,False,Tela,Scarpe eleganti,Stringate / Derby,C
Flexway Step Loafer,Scarpe da uomo,80.0,80.0,Cola scamosciata,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Torhill Lo,Scarpe da uomo,120.0,120.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Mullan Easy,Scarpe da uomo,130.0,130.0,Combinazione della Marina,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Godney Boat,Scarpe Originals Icon da Uomo,130.0,130.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Aldwin Lace GORE-TEX,Scarpe da uomo,130.0,130.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Torhill Lo,Scarpe da uomo,110.0,110.0,Tela bianca,False,Tela,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals da Uomo,170.0,170.0,Pelle Bianca,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Wallabee 2604,Scarpe Originals Icon da Uomo,160.0,160.0,Brevetto della Marina,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Desert Rock Lo,Scarpe Originals Icon da Uomo,140.0,140.0,Camoscio nero,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Solsbury Mule,Sandali da uomo,100.0,100.0,Pelle scamosciata kaki,False,Pelle,Sandali,Sandali aperti,C
Wallabee,Scarpe Originals Icon da Uomo,150.0,150.0,Pelle marrone scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Godney Boat,Scarpe Originals Icon da Uomo,130.0,130.0,Combinazione della Marina,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Wallabee EVO,Scarpe da uomo,99.0,99.0,Combinazione di abbronzatura,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Desert Nomad 2026,Scarpe Originals da Uomo,190.0,190.0,Camoscio nero,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals Icon da Uomo,140.0,140.0,Brown Perforated,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Renzo Lace,Scarpe da uomo,120.0,120.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Renzo Easy,Scarpe da uomo,120.0,120.0,Pelle marrone scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Wesley Vibe,Sandali da uomo,60.0,60.0,Sabbia,False,Non specificato,Sandali,Sandali aperti,C
Wesley Vibe,Sandali da uomo,60.0,60.0,cera d'api,False,Non specificato,Sandali,Sandali aperti,C
Desert Trek,Scarpe Originals Icon da Uomo,140.0,140.0,Pelle Scamosciata Blu Scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Wallabee 2604,Scarpe Originals Icon da Uomo,160.0,160.0,Brevetto d'argento,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Meare Walla,Scarpe Originals Icon da Uomo,110.0,110.0,Cola scamosciata,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
