Scarpe,Prezzo,Categoria,Macro_categoria,Micro_categoria,Brand
Spherica Plus Uomo,119.9,Sneaker slip in,Sneakers,Sneakers slip-in,G
Spherica Plus Uomo,109.9,Sneaker slip in,Sneakers,Sneakers slip-in,G
Wells Uomo,109.9,Sneakers basse,Sneakers,Sneakers basse,G
Spherica Uomo,99.9,Sneakers basse,Sneakers,Sneakers basse,G
Pantelleria Uomo,89.9,Espadrillas,Ciabatte & Pantofole,Espadrillas,G
Spherica Plus Uomo,129.9,Sneaker slip in,Sneakers,Sneakers slip-in,G
Renan Uomo,119.9,Sneakers basse,Sneakers,Sneakers basse,G
Regio Uomo,139.9,Scarpe in pelle,Scarpe eleganti,Stringate / Derby,G
Spherica Actif X4 Uomo,119.9,Sneakers basse,Sneakers,Sneakers basse,G
Xand 2S Uomo,89.9,Sandali aperti,Sandali,Sandali aperti,G
Nebula 2.0 Plus Uomo,139.9,Sneaker slip in,Sneakers,Sneakers slip-in,G
Baltmoore Uomo,99.9,Sneakers basse,Sneakers,Sneakers basse,G
Strada Uomo,79.9,Sandali chiusi,Sandali,Sandali chiusi,G
Terreno + Grip Uomo,79.9,Sandali aperti,Sandali,Sandali aperti,G
Recanati Uomo,129.9,Mocassini in pelle,Mocassini,Mocassini,G
Strada Uomo,79.9,Sandali sportivi,Sandali,Sandali sportivi,G
Spherica Ecub-1 Uomo,139.9,Sneakers basse,Sneakers,Sneakers basse,G
Snake Original Uomo,109.9,Sneakers basse vintage,Sneakers,Sneakers vintage,G
Parnaiba Uomo,79.9,Ciabatte,Ciabatte & Pantofole,Ciabatte,G
Deiven Uomo,109.9,Scarpe in pelle,Scarpe eleganti,Stringate / Derby,G
Spherica Uomo,109.9,Sneakers basse,Sneakers,Sneakers basse,G
Flextride Plus Uomo,99.9,Sneaker slip in,Sneakers,Sneakers slip-in,G
Gxcp-01 Uomo,104.93,Scarpe camoscio,Scarpe eleganti,Stringate / Derby,G
Flextride Plus Uomo,109.9,Sneaker slip in,Sneakers,Sneakers slip-in,G
Recanati Uomo,119.9,Mocassini in pelle,Mocassini,Mocassini,G
Spherica Uomo,99.9,Sneakers in tessuto,Sneakers,Sneakers basse,G
Strada Uomo,79.9,Sandali aperti,Sandali,Sandali aperti,G
Gxrn-02 Uomo,94.5,Sneakers basse,Sneakers,Sneakers basse,G
Gxcp-02 Uomo,104.93,Sneakers basse,Sneakers,Sneakers basse,G
Sandal Ghita Uomo,79.9,Sandali aperti,Sandali,Sandali aperti,G
Kosmopolis + Grip Uomo,119.9,Mocassini scamosciati,Mocassini,Mocassini,G
