Scarpe,Prezzo,Materiale,Tipo,Sottotipo,Macro_categoria,Micro_categoria,Brand
Men's Leather Loafers,139.5,Leather,Loafers,Leather Loafers,Mocassini,Mocassini,NG
Men's Patent Oxford Shoes,149.5,Patent,Oxford Shoes,Patent Oxford Shoes,Scarpe eleganti,Stringate / Derby,NG
Men's Leather Derbys,149.5,Leather,Derby Shoes,Leather Derby Shoes,Scarpe eleganti,Stringate / Derby,NG
Men's Double Leather Buckle,159.5,Leather,Buckle Shoes,Leather Buckle Shoes,Scarpe eleganti,Stringate / Derby,NG
Men's Leather Sneakers,129.5,Leather,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Suede Loafers,149.5,Suede,Loafers,Suede Loafers,Mocassini,Mocassini,NG
Men's Suede Loafers,139.5,Suede,Loafers,Suede Loafers,Mocassini,Mocassini,NG
Men's Suede Derby Shoes,139.5,Suede,Derby Shoes,Suede Derby Shoes,Scarpe eleganti,Stringate / Derby,NG
Men's Leather Sneakers,159.5,Leather,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Leather And Suede Sneakers,145.0,Leather,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Suede Sneakers,149.5,Suede,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Leather And Suede Sneakers,139.5,Leather,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Leather Sneakers,349.0,Leather,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Leather Tie-Up Shoes,159.5,Leather,Tie-Up Shoes,Leather Tie-Up Shoes,Scarpe eleganti,Stringate / Derby,NG
Men's Leather Loafers,159.5,Leather,Loafers,Leather Loafers,Mocassini,Mocassini,NG
Men's Leather Tie-Up Shoes,149.5,Leather,Tie-Up Shoes,Leather Tie-Up Shoes,Scarpe eleganti,Stringate / Derby,NG
Men's Suede And Canvas Sneakers,159.5,Suede,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Suede Sneakers,139.5,Suede,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Leather Sneakers,139.5,Leather,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
Men's Leather And Suede Sneakers,149.5,Leather,Sneakers,Low Sneakers,Sneakers,Sneakers basse,NG
