Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore,Macro_categoria,Micro_categoria
G,Spherica,Sneakers basse,99.99,89.99,True,black,Sneakers,Sneakers basse
G,Spherica Actif X4,Sneakers basse,89.99,89.99,False,navy,Sneakers,Sneakers basse
C,Swift,Sneakers basse,119.99,101.99,True,black,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,99.9,99.9,False,jeans,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,109.0,87.0,True,dark blue,Sneakers,Sneakers basse
C,Atticus,Stringate eleganti,99.99,99.99,False,dark tan,Scarpe eleganti,Stringate / Derby
G,Spherica Plus,Sneakers basse,109.99,92.99,True,navy,Sneakers,Sneakers basse
G,Symbol,Stringate sportive,109.99,92.99,True,black,Sneakers,Sneakers basse
G,Navy,Sneakers basse,124.99,124.99,False,,Sneakers,Sneakers basse
C,Corsley Bar,Scarpe senza lacci,89.99,66.99,True,cola,Sneakers,Sneakers basse
G,Wells,Sneakers basse,109.9,109.9,False,dark navy,Sneakers,Sneakers basse
G,Avery,Sneakers basse,99.0,84.0,True,bleu marine,Sneakers,Sneakers basse
C,Desert,Stringate sportive,129.99,83.99,True,black,Sneakers,Sneakers basse
G,Snake,Sneakers basse,99.99,74.99,True,beige/ dark orange,Sneakers,Sneakers basse
G,Flextride,Sneakers basse,99.0,84.0,True,navy,Sneakers,Sneakers basse
C,Lockford Lace,Sneakers basse,89.95,89.95,False,navy,Sneakers,Sneakers basse
G,Serifos,Sneakers basse,84.99,84.99,False,dark navy,Sneakers,Sneakers basse
C,Brown Leather G,Sneakers basse,119.99,107.99,True,,Sneakers,Sneakers basse
G,Walk Pleasure B,Stringate eleganti,169.9,169.9,False,black,Scarpe eleganti,Stringate / Derby
C,Corsley Bar,Scarpe senza lacci,89.99,66.99,True,navy,Sneakers,Sneakers basse
G,Dublin,Stringate eleganti,114.99,97.99,True,black,Scarpe eleganti,Stringate / Derby
G,Federico,Scarpe senza lacci,95.9,95.9,False,black,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,dove grey dark navy,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,111.99,111.99,False,dark brown,Sneakers,Sneakers basse
G,Snake,Scarpe senza lacci,99.99,99.99,False,navy,Sneakers,Sneakers basse
G,Symbol,Scarpe senza lacci,109.99,81.99,True,black,Sneakers,Sneakers basse
G,Snake,Sneakers basse,99.99,89.99,True,dark grey,Sneakers,Sneakers basse
C,Torhill Hi,Stringate sportive,129.99,83.99,True,dark sand,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,119.99,89.99,True,cola,Sneakers,Sneakers basse
G,Flextride Plus,Sneakers basse,99.9,99.9,False,navy,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,99.99,84.99,True,navy/jeans,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,109.9,109.9,False,dove grey,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,149.99,104.99,True,dark green,Sneakers,Sneakers basse
G,Flextride Plus,Sneakers basse,109.99,92.99,True,avio,Sneakers,Sneakers basse
C,Courtlite2,Sneakers basse,99.99,99.99,False,off white,Sneakers,Sneakers basse
G,New Damon,Mocassini eleganti,109.99,98.99,True,black,Mocassini,Mocassini
G,Renan,Sneakers basse,119.9,119.9,False,sand white,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,109.9,109.9,False,sand,Sneakers,Sneakers basse
G,Flextride R,Sneakers basse,99.9,99.9,False,dark blue,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,119.99,119.99,False,beeswax,Sneakers,Sneakers basse
G,Renan,Sneakers basse,119.9,119.9,False,black,Sneakers,Sneakers basse
G,Avery,Sneakers basse,99.9,99.9,False,brown cotto,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,109.0,93.0,True,yellow,Sneakers,Sneakers basse
C,Lifestyle- Torhill,Sneakers basse,119.99,119.99,False,dark sand nubuck g,Sneakers,Sneakers basse
C,Torhill Lo,Stringate sportive,109.99,109.99,False,dark sand,Sneakers,Sneakers basse
G,Avery,Sneakers basse,99.9,99.9,False,light grey,Sneakers,Sneakers basse
